;ZnPENT_15mJ_211us_5ms_25Jul19_2.sgd;ZnPENT_15mJ_211us_5ms_25Jul19_2.sgd;ZnPENT_15mJ_211us_5ms_25Jul19_2.sgd;ZnPENT_15mJ_211us_5ms_25Jul19_2.sgd;ZnPENT_15mJ_211us_5ms_25Jul19_2.sgd;ZnPENT_15mJ_211us_5ms_25Jul19_2.sgd;ZnPENT_15mJ_211us_5ms_25Jul19_2.sgd;ZnPENT_15mJ_211us_5ms_25Jul19_2.sgd;ZnPENT_15mJ_211us_5ms_25Jul19_2.sgd;ZnPENT_15mJ_211us_5ms_25Jul19_2.sgd;ZnPENT_15mJ_211us_5ms_25Jul19_2.sgd;
286,914;9,0339;281,19;512,22;504,62;514,95;487,84;398,68;572,29;526,83;524,65;546,2;
287,243;38,356;311,83;534,63;549,35;535,26;506,58;421,32;508,88;511,5;548,12;551,66;
287,572;39,942;349,77;529,33;548,14;556,91;517,2;434,6;486,89;500,06;536,14;527,11;
287,901;27,478;355,08;501,7;525,21;557,36;474,22;433,86;538,99;502,46;536,16;485,26;
288,230;18,663;334,92;500,16;520,03;532,15;491,8;473,58;555,63;517,88;543,84;517,87;
288,559;-4,1192;392,71;542,39;540,47;529,37;530,42;470,62;549;531,74;518,3;567,93;
288,888;24,869;445,99;571,19;547,96;550,7;515,51;404,9;528,83;531,77;505,37;567,14;
289,217;27,165;382,21;511,21;524,94;544,09;551,51;412,79;490,08;524;540,67;576,33;
289,546;3,5625;340,73;476,31;516,98;506,43;573,01;463,61;490,3;508,45;554,12;573,85;
289,875;-1,484;393,1;523,72;500,43;517,46;588,74;535,82;536,31;565,27;518,06;569,69;
290,204;41,849;435,02;513,79;566,66;543,49;584,63;503,68;585,44;601,48;543,37;583,26;
290,533;41,233;341,01;465,58;604,17;602,77;555,87;438,91;495,66;571,28;507,19;596,79;
290,862;-0,37502;422;531,75;599,62;542,25;532,12;483,25;586,62;512,38;494,63;607,75;
291,191;-14,458;357;616,17;561,24;547,69;511,58;448,59;500,8;548,9;507,69;520;
291,520;11,623;412,87;561,42;547,05;514,31;509;506,29;581,54;536,56;523,73;569,43;
291,849;-18,063;453,18;506,26;419,58;563,87;551,9;448,02;507,03;526,95;475,28;471,52;
292,178;-32,46;493,49;565,77;553;533,15;529,83;451,86;512,78;515,43;540,55;590,54;
292,507;-3,437;491,3;559,69;540,45;563,41;502,21;513,9;537,94;597,22;466,32;644,89;
292,836;3,4192;511,33;571,37;533,7;518,27;529,17;481,88;573,59;550,97;575,78;577,41;
293,165;32,686;435,54;553,59;516,13;446,19;554,09;471,94;529,91;558,34;601,97;483,63;
293,494;45,232;383,23;533,93;525,05;495,88;574,88;514,39;556,36;552,16;542,93;525,86;
293,823;82,122;411,41;493,35;507,38;548,41;533,19;554,78;531,4;565,27;531,82;544,58;
294,152;40,183;411,42;509,49;558,16;542,64;517,55;525,65;597,69;494,03;530,83;633,55;
294,481;22,734;482,86;552,81;516,44;593,41;530,67;532,87;609,23;487,55;564,86;612,32;
294,810;5,3385;511,56;552,56;529,47;617,43;526,06;519,83;566,89;541,11;546,89;589,57;
295,139;-14,658;474,2;493,9;553,6;541,76;553,8;511,83;582,4;600,01;526,19;543,92;
295,468;4,9273;471,73;515,67;565,84;524,56;576;518,38;564,98;553,67;585,87;511,31;
295,797;55,898;506,9;549,62;562,96;575,71;597,47;493,24;524,57;530,9;590,58;534,09;
296,127;82,065;531,77;565,71;540,39;569,52;614,1;499,45;568,25;567,22;552,48;550,19;
296,456;52,921;546,99;600,32;531,11;525,01;599,01;506,81;575,17;601,3;554,78;542,22;
296,785;25,061;500,02;597,86;539,85;525,76;535,1;510,77;553,6;570,36;540,03;539,6;
297,114;31,086;471,73;563,89;531,34;550,09;499,79;527,84;607,26;513,7;542,32;548,84;
297,443;13,671;516,11;568,58;518,93;565,95;559,78;485,06;588,62;558,48;575,07;579,3;
297,772;-11,431;451,83;610,91;538,61;588,45;542,18;511,07;562,73;531,68;520,09;577,4;
298,101;-2,6522;557,45;581,33;531,55;560,24;528,57;476,92;553,96;549,88;484,25;522,1;
298,430;7,0729;511,38;585,87;591,43;545,75;559,31;522,51;576,83;544,54;561,87;579,97;
298,759;-39,36;454,45;524,02;568,32;613,29;578,48;511,98;632,57;587,73;566,38;567,4;
299,088;-18,611;491,75;611,92;578,87;535,54;588,61;530,14;583,62;541,25;528,47;519,98;
299,417;0,15208;490,95;527,71;567,04;580,66;575,53;551,31;574,43;536,97;499,32;503,54;
299,746;23,511;503,23;598,81;524,91;576,67;609,24;545,25;579,79;476,58;526,46;625,95;
300,075;33,871;548,96;594,74;523,52;569,97;532,39;570,78;595,8;550,18;577;624,81;
300,404;15,623;543,2;558,25;596,51;566,13;587,13;539,08;566,98;576,11;577;597,92;
300,733;27,987;524,45;531,95;494,17;573,42;562,1;560,26;557,65;558,45;583,49;578,45;
301,062;44,984;414,66;506,02;514,42;500,29;566,22;507,83;561,44;540,13;606,2;553,91;
301,391;23,239;520,65;577,68;523,94;556,34;585,67;510,33;480,54;616,92;598,82;507,72;
301,720;-3,6535;538,76;533,56;566,26;545,35;522,66;562,97;526,68;565,47;579,2;510,52;
302,049;15,624;578,78;530,77;534,45;570,01;588,57;553,45;590,25;543,07;549,61;556,09;
302,378;21,54;529,68;552,98;518,35;525,71;583,8;565,25;570,69;542,46;598,94;593,82;
302,707;-9,3864;500,78;541,35;515,62;557,8;595,79;550,59;575,27;585,82;561,99;556,73;
303,036;-8,0229;498,65;550,58;576,21;590,12;591,02;535,79;536,77;571,79;565,3;600,47;
303,365;36,099;476,36;551,43;539,86;580,93;605,64;514,03;544,43;555,84;584,67;631,33;
303,694;73,312;493,49;542,57;552,68;570,86;589,66;522,04;547,25;508,91;572,12;595,8;
304,023;25,355;528,73;532,54;551,28;557,74;591,52;522,61;533,47;538,58;547,14;556,61;
304,352;2,1458;545,91;545,26;503,62;531,2;612,51;541,6;539,91;567,85;534,51;580,05;
304,681;-8,5358;524,83;532,74;509,91;546,81;612;514,47;521,1;536,27;511,28;598,37;
305,010;-24,448;492,66;526,38;545,19;564,24;628,19;480,78;521,55;564,55;497,29;586,38;
305,340;19,248;502,89;568,99;560,48;565,82;625,81;556,18;546,08;587,2;537,05;563,79;
305,669;34,496;535,19;559,96;570,56;620,03;583,66;565,06;540,94;564,47;566,61;544,76;
305,998;32,49;568,54;547,84;592,99;607,85;580,92;525,77;597,19;602,6;550,65;625,43;
306,327;-28,078;568,59;549,37;555,98;571,72;580,91;551,12;585,02;611,14;537,48;613,9;
306,656;17,098;600,31;567,97;591,33;572,15;585,58;525,33;553,61;550,43;549,37;603,69;
306,985;-32,221;592,94;522,86;578,04;507,16;557,94;562,02;591,22;544,1;591,06;596,3;
307,314;-10,491;537,44;536,12;617,77;526,86;578,66;583,15;575,41;612,7;559,91;582,73;
307,643;17,305;532,07;490,14;488,22;580,28;546,61;520,26;583,08;554,78;536,83;575,41;
307,972;15,861;517,76;561,18;648,06;524,39;605,82;545,86;576,25;549,71;550,87;580,13;
308,301;-44,538;559,87;550,34;633,01;573,21;618,21;499,71;594,86;632,01;519,61;596,6;
308,630;15,046;595,43;605,12;592,65;500,17;626,86;528,54;589,09;509,95;544,6;580,26;
308,959;-48,298;577,09;492,53;587,27;577,48;570,27;564,93;577,65;588,37;516,63;567,71;
309,288;-47,467;522,51;567,59;561,62;565,68;603,26;562,47;557,05;563,99;514,09;613,24;
309,617;-2,747;522,21;573,4;574,62;671,6;660,8;542,04;561,07;523,69;543,5;598,91;
309,946;44,609;536,26;516,64;583,63;588,55;543,86;519,11;592,66;551,15;544,68;560,36;
310,275;-3,0799;580,07;520,8;532,08;600,38;543,28;527,64;636,91;573,8;556,64;611,45;
310,604;-13,495;534,68;563,3;563,05;534,66;605,57;538,51;523,1;559,23;576,52;573,69;
310,933;-24,817;524,54;560,33;585,12;521,39;645,36;519,64;521,88;550,15;557,79;550,3;
311,262;31,942;523,29;584,3;604,83;579,19;572,53;540,62;543,39;595,46;523,76;556,75;
311,591;42,967;543,84;570,45;592,7;594,21;578,68;506,15;537,12;585,64;515,17;573,69;
311,920;2,8154;549,85;560,55;565,51;576,68;613,93;519,1;518,3;589,04;552,14;553,01;
312,249;35,902;559,48;549,96;534,95;567,89;628,91;529,18;566,91;561,12;550,38;580,22;
312,578;22,563;561,16;553,54;507,08;537,47;609,06;508,78;595,9;534,25;532,07;580,73;
312,907;-16,537;598,02;576,15;547,29;540,68;561,47;515,94;573,77;540,04;535,44;582,47;
313,236;4,4917;603,05;554,59;606,53;578,85;559,03;514,14;601,37;528,86;577,54;613,07;
313,565;-0,87508;537,16;520,02;587,28;587,01;577,75;501,24;602,38;543,34;580,76;597,77;
313,894;-9,1938;522,91;555,79;562,9;584,91;578,17;533,44;571,34;598,53;514,81;566,38;
314,224;35,779;543,08;595,66;570,31;567,88;590,34;568,73;600,08;597,7;530,52;551,95;
314,553;50,961;574,41;551,4;544,86;547,28;578,02;561,14;561,17;536,42;553,73;603,14;
314,882;-7,6146;548,4;508,71;532,59;532,55;613,74;556,72;578,8;534,36;588,2;586,3;
315,211;12,373;574,57;516,24;506,51;525,61;588,63;565,84;510,4;563,58;586,66;575,76;
315,540;-22,216;559,45;514,61;505,95;556,55;493,01;568,83;588,27;514,28;531,73;586,76;
315,869;76,23;584,68;575,21;477,31;531,06;535,03;566,81;544,18;539,47;584,4;576,01;
316,198;55,012;568,72;566,83;612,87;535,85;560,04;553,77;593,98;539,36;581,96;602,74;
316,527;27,538;503,05;536,6;628,64;519,28;604,61;504,92;555,44;572,88;533,82;543,48;
316,856;52,748;588,91;547,2;587,34;591,98;529,92;537,75;563,44;587,59;548,76;569,41;
317,185;-20,336;525,44;558,74;548,88;532,36;583,77;523,33;589,41;563,55;592,99;593,45;
317,514;-20,121;521,18;579,67;554,58;603,35;522,98;556,83;596,58;621,26;556,41;599,64;
317,843;-24,506;555,25;541,34;595,56;544,01;622,65;552,69;607,82;656,55;531,47;591,89;
318,172;-26,726;514,13;542,18;643,15;587,91;531,31;577,02;590,02;648,78;575,6;572,88;
318,501;-8,8597;578,74;539,7;549,4;564,67;589,21;501,84;518,56;570,32;530,23;560,93;
318,830;24,878;515,37;605,83;576,75;576,87;638,02;571,49;562,18;536,7;592,91;566,08;
319,159;-2,1553;553,84;601,56;563,07;579,01;543,03;531,42;542,84;565,66;573,36;579,22;
319,488;18,647;580,39;559,22;554;554,58;500,9;558,97;528,87;609,65;574,9;555,32;
319,817;36,029;550,77;539,63;551,99;561,79;602,75;583,03;523,97;602,18;543,4;628,61;
320,146;25,334;518,53;571,83;569,37;566,2;616,64;529,9;575,83;607,2;515,5;602,87;
320,475;6,098;558,39;596,76;592,5;587,21;609,88;568,22;623,66;574,34;555,23;566,98;
320,804;4,1265;579,19;591,09;560,9;612,47;612,76;539,14;635;605,59;586;595,18;
321,133;-5,0077;576,26;622,39;529;595,1;608,04;486,3;555,62;616,16;603,64;557,38;
321,462;8,4383;550,31;608,49;530,44;564,31;585,45;519;513,73;566,14;618,56;550,59;
321,791;20,18;513,67;588,2;553,25;578,13;574,16;493,33;548,89;563,61;579,38;569,69;
322,120;7,0913;539,51;597,23;576,36;586,58;564,89;465,03;546,36;579,57;547,78;558,94;
322,449;16,434;565,34;570,63;546,08;585,12;546,63;507,07;545,77;594,69;550,11;581,01;
322,778;11,014;547,56;583,69;537,17;614,59;597,47;508,95;555,31;623,39;528,45;559,1;
323,107;17,424;544,41;536,03;599,74;572,32;636,91;558,8;573,69;606,99;551,61;603,04;
323,437;23,86;525,01;547,82;578,97;564,08;646,05;560,59;625,63;566,06;546,6;626,21;
323,766;-31,518;597,92;556,41;570;579,63;590,43;574,84;640,9;517,72;580,79;612,21;
324,095;-64,925;580;521,6;571,77;553,95;601,94;523,35;549,53;550,59;583,58;595,29;
324,424;6,1141;567,8;557,56;566,4;577,56;602;522,78;560,47;571,17;551,91;565,8;
324,753;-14,672;575,57;564,83;494,41;575,76;630,08;514,85;611,79;562,67;570;574,08;
325,082;12,48;545,57;596,67;601,72;532,46;609,04;567,76;601,13;534,26;569,5;550,77;
325,411;-22,518;555,08;562,9;553,15;584,43;682,3;580,45;602,77;553,13;561,95;591,85;
325,740;72,743;596,45;597,54;558,92;600,78;616,86;636,26;594,11;557,94;560,03;586,08;
326,069;-40,884;518,2;552,43;580,84;636,13;639,74;509,77;588,3;590,28;622,66;566,06;
326,398;29,582;556,85;583,73;590,21;545,92;600,89;507,56;628,11;500,83;588,62;612,41;
326,727;21,268;567,12;588,75;547,3;625,27;561,17;544,71;566,45;573,28;661,04;629,24;
327,056;39,906;580,54;561,4;572,78;607,06;627,08;532,44;659,02;578,31;584,19;666,12;
327,385;-20,683;614,14;595,13;560,63;590,62;555,55;466,71;571,99;602,55;614,91;579,57;
327,714;13,218;639,5;576,85;613,07;606,26;653,46;554,48;637,83;604,43;602,65;602,41;
328,043;-0,65378;582,08;620,8;595,56;558,48;615,78;566,03;646,03;613,85;633,33;635,8;
328,372;-32,57;552,51;593;593,66;591,48;580,14;578,57;654,46;562,46;630,17;640,94;
328,701;-13,487;568,79;565,17;571,14;610,82;561,45;565,32;595,9;592,73;636,9;661,38;
329,030;45,952;589,99;556,51;577,98;542,68;635,41;638,46;538,02;635,21;640,73;626,61;
329,359;25,873;587,26;560,45;585,12;556,58;635,29;614,51;544,63;625,24;625,97;607,31;
329,688;-4,6456;600,88;580,46;628,72;626,91;620,63;560,28;583,56;608,79;619,68;623,03;
330,017;-15,436;620,49;595,99;610,75;652;675,36;575,95;625,41;661,27;644,9;672,32;
330,346;-16,265;625,22;587,49;594,2;655,22;666,64;564,98;612;669,57;671,22;707,63;
330,675;-0,69203;599,81;627,3;635;638,27;628,42;548,58;573,12;601,31;646,66;702,38;
331,004;13,193;560;642,17;613,83;599,2;652,87;559,14;586,41;580,53;609,93;668,06;
331,333;9,4101;564,53;539,56;569,19;604,28;631,49;544,3;604,04;579,18;621,7;596,95;
331,662;-35,125;579,21;551,69;531,03;635,12;574,32;524,58;606,31;600,67;638,62;599,89;
331,991;-1,9782;585,62;599,86;563,11;617,01;598,83;519,19;587,04;626,08;625,51;633,06;
332,320;33,567;562,22;574,52;507,18;637,01;620,33;537,75;555,01;588,92;597,62;602,11;
332,650;47,946;560,53;657,56;565,6;639,47;650,04;576,62;611,67;527,89;636,77;587,65;
332,979;-37,571;611,24;563,07;580,79;599,1;630,56;570,88;574,72;600,52;655,19;575,8;
333,308;0,62731;646,05;601,02;658,81;613,11;662,7;590,75;615,53;615,8;644,54;679,81;
333,637;2,4324;589,91;577,69;638,59;656,21;591,38;593,43;594,78;572,34;616,99;658,8;
333,966;48,901;593,93;640,93;1160,3;940,69;779,66;641,49;723,42;741,66;836,5;1181,5;
334,295;46,887;688,24;905,96;2176,8;2118,6;1288,2;670,39;1018,4;1098;1418,9;2375;
334,624;38,221;706,53;826,04;2008,3;2089,7;1223,6;700,24;1051,2;1097;1408,3;2377,9;
334,953;-3,2835;672,28;735,8;1472,9;1484,8;1010;596,85;935,66;885,89;1101,2;1861;
335,282;76;606,02;723,69;948,7;1000,8;757,21;622,44;687,41;673,76;804,36;1078,2;
335,611;-3,9933;599,86;665,98;647,03;719,58;653,24;581,07;656,68;620,9;661,68;598,55;
335,940;21,696;585,11;639,63;566,65;622,63;642,65;621,97;583,22;528,34;660,54;636,9;
336,269;5,5116;570,15;564,9;561,16;614,74;609,82;590,13;566,42;539,23;576,32;629,56;
336,598;14,059;592,6;597,2;635,04;616,75;637,14;513,49;565,25;575,61;605,71;662,66;
336,927;-7,4901;578,09;624,74;638,24;649,22;629,67;561,45;592,21;582,85;603,67;645,21;
337,256;20,701;587,33;607,27;643,58;594,1;610,46;646,71;562,26;558,24;553,9;613,99;
337,585;4,3307;599,85;564,26;640,37;551,09;604,36;569,99;537,22;609,92;592,42;578,68;
337,914;-4,713;578,4;543,58;610,8;536,53;667,54;546,49;573,94;621,4;638,31;611,2;
338,243;9,3868;576,07;586,89;612,61;553,16;657,86;562,75;589,2;606,57;643,59;626,66;
338,572;-5,1898;563,68;634,81;624,41;562,56;634,41;575;592,69;579,9;589,46;617,13;
338,901;-25,967;554,38;640,57;575,53;578,25;641,57;586,54;611,41;593,58;568,72;594,28;
339,230;-21,678;584,22;622,1;561,32;585,44;656,97;578,42;630,98;602,25;588,05;609,27;
339,559;2,9909;587,64;592,43;554,03;592,25;645,13;569,63;625,48;586,36;581;646,48;
339,888;35,369;540,26;565,62;542,92;588,21;610,28;558,47;591,55;624,14;561,8;612,8;
340,217;34,635;515,34;555,61;623,71;545,45;606,05;537,93;582,86;631,58;547,67;586,86;
340,546;15,665;553,05;545,86;596,96;574,24;567,74;558,13;592,31;590,57;582,11;605,63;
340,875;16,15;598,99;535,48;567,18;567,95;600,12;617,07;598,75;563,54;576,68;613,31;
341,204;-35,484;582,22;574,67;559,54;600,56;562,03;528,06;599,53;592,62;559,89;586,96;
341,533;45,179;560,22;629,93;554,03;608,19;579,41;493,64;547,79;529,45;597,36;619,2;
341,863;18,423;579,43;544,65;600,85;592,84;591,27;543,9;542,07;593,83;536,94;622,46;
342,192;37,184;558;595,69;601,23;589,2;563,53;526,56;620,27;550,18;512,87;629,28;
342,521;13,722;605,18;568,74;637,92;569,18;574,54;552,09;627,46;574,36;559,27;591;
342,850;39,105;594,24;530,71;576,78;559,54;583,36;564,25;612,92;599,08;549,13;601,81;
343,179;5,7723;547,33;612,7;572,44;535,66;642,09;585,84;627,7;618,07;500,56;614,86;
343,508;-6,7547;620,57;596,32;541,6;627,21;646,91;577,17;556,4;621,92;586,32;552,23;
343,837;1,5011;549,27;630,95;570,28;578,94;637,55;542,05;542,72;603,11;618,23;635,07;
344,166;25,61;539,55;611,21;588,35;532,41;616,11;631,72;690,93;532,08;589,12;561,9;
344,495;8,8227;661,91;521,83;582,15;517,54;631,43;566,91;622,32;626,12;579,9;598,46;
344,824;20,199;565,57;569,14;611,07;532,7;603,93;564,35;566,57;575,02;568,14;605;
345,153;-6,5593;625,29;548,25;569,07;577,54;598;504,48;535,63;565,99;597,16;596,21;
345,482;-5,6129;575,85;607,86;522,69;578,09;595,71;575,92;571,17;555,56;636,26;660,33;
345,811;4,988;573,61;610,85;576,63;619,3;596,45;575,41;580,37;586,13;534,17;619,27;
346,140;-0,96797;588,59;561,92;578,93;607,72;574,24;600,87;614,18;576,93;566,5;654,64;
346,469;-28,529;559,97;530,58;521,94;539,45;567,27;566,02;579,67;567;598,69;615,64;
346,798;-6,4311;575,1;520,91;541,45;587,16;544,93;529,74;553,62;600,95;572,69;575,44;
347,127;3,96;580,47;500,99;567,26;562,95;598,56;515,87;537,73;592,95;564,55;598,15;
347,456;17,793;583,08;556,1;615,58;566,57;630,02;511,09;545,07;551,3;544,94;623,54;
347,785;-12,319;554,84;606,9;593,93;596,72;604,32;542,01;550,83;596,05;526,54;621,88;
348,114;-14,118;585,98;569,82;559,46;572,97;622,82;550,21;552,81;631,43;566,8;600,83;
348,443;12,875;623,73;531,51;600,34;568,8;640,17;564,96;593,49;581,75;605,07;583,25;
348,772;-2,9935;556,99;550,21;620,6;577;643,41;613,2;621,4;573,01;585,99;613,01;
349,101;29,65;545,74;575,9;612,25;574,18;666,44;587,24;606;591,35;541,7;628,96;
349,430;14,909;587,68;553,11;568,57;580,73;630,95;580,4;602,61;576,9;523,96;575,3;
349,759;-9,4139;590,34;544,84;524,99;589,02;601,25;629,02;593,36;594,55;563,12;585,55;
350,088;89,619;528,95;561,82;507,13;516,79;617,33;559,35;561,96;590,34;541,44;603,1;
350,417;37,821;613,36;586,72;552,46;507,59;602,81;535,6;604,5;546,7;536,64;610,16;
350,747;19,688;602,16;627,79;553,07;570,55;520,68;534,17;652,33;576,94;545,08;595,58;
351,076;6,4802;580,83;555,29;572,9;574,18;543,36;580,57;602,34;597,55;550,18;615,88;
351,405;23,069;523,6;603,34;542,98;584,03;578,21;494,29;589,8;634,5;595,04;659,04;
351,734;82,738;663,24;601,05;626,88;601,07;568,11;560,91;610,48;580,49;532,3;594,17;
352,063;28,304;570,49;542,65;590,25;520,58;617,96;571,72;591,48;550,24;538,7;574,54;
352,392;-35,598;606,06;581,89;619,94;605,96;617,12;565;579,08;556,16;602,88;634,73;
352,721;53,11;619,56;557,79;606,44;596,31;644,12;565;596,43;591,84;576,85;575,92;
353,050;24,288;2862,3;561,66;604,13;585,74;611,42;530,49;652,96;639,64;557,35;600,12;
353,379;51,599;37896;579,04;529,56;569,75;609,9;551,32;580,76;611,61;610,71;606,48;
353,708;62,751;61746;556,89;558,89;603,31;665,12;561,75;588,36;595,94;595,47;632,84;
354,037;6,2187;64951;3286,9;656,62;886,35;633,55;1188,7;1004,5;726,07;551,55;885,46;
354,366;41,384;64946;6426,9;654,68;1459,9;650,27;2607,5;1608,5;1032,8;635,4;1058;
354,695;33,639;64951;7783,2;673,89;2060,8;690,18;3833,8;2059;1225,4;651,7;1002,5;
355,024;44,962;64947;7511,6;756;2020,2;622,68;4083,2;2349,2;1220,2;590,08;968,25;
355,353;-23,11;64950;6930,5;749,49;1716,3;587,22;3990,2;2173,8;1104,7;602,51;894,3;
355,682;-12,051;64947;4036,4;679,28;1094,2;658,78;2248;1287,2;780,07;636,47;781,4;
356,011;-4,1253;64950;1380,9;606,58;657,04;646,4;890,48;750,79;602,31;575,66;659,71;
356,340;14,381;64948;650,13;598,59;579,32;644,11;543,53;669,51;540,49;555,2;636,5;
356,669;-15,894;64949;632,27;592,46;571,76;635,11;538,81;607,78;541,06;576,24;618,16;
356,998;8,1802;64948;610,54;584,09;577,25;583,25;596,14;555,96;539,7;590,62;582,46;
357,327;63,261;60312;567,04;558,25;600,12;572,62;576,66;573,6;554,14;615,15;583,23;
357,656;16,573;31680;539,18;540,27;579,77;571,94;566,78;597,13;570,14;638,68;598,42;
357,985;-27,399;961,52;572,4;534,91;561,18;575,32;572,3;599,19;550,72;634,05;645,09;
358,314;1,7879;647,35;583,53;499,89;586,44;621,81;533,99;597,82;597,44;635,43;659,76;
358,643;56,951;635,23;587,25;556,49;569,13;626,21;555,54;580,11;614,98;642,62;591,44;
358,972;50,13;583,26;560,8;606,42;494,69;606,73;579,19;557,23;584,24;569,8;577,12;
359,301;7,4247;613,42;551,48;565,71;565,38;603,71;580,74;546,29;515,29;554,05;561,11;
359,630;-28,219;590,43;521,3;541,55;586,47;565,09;539,54;567,79;555,21;511,96;549,63;
359,960;-37,679;618,6;579,86;578,91;533,77;621,08;574,03;543,67;590,63;609,16;634,7;
360,289;-47,573;587,3;502,91;644,14;571,7;597,19;555,11;568,54;595,05;574,09;575,87;
360,618;-60,722;614,79;630,26;570,61;567,21;572,13;595,81;588,42;630,86;574,58;624,88;
360,947;-44,204;596,38;579,89;569,87;548,67;668,52;599,98;554,66;643,38;617,65;659,33;
361,276;31,583;577,77;592,06;675,37;577,22;628,91;579,15;653,69;624,13;624,41;626,67;
361,605;2,3794;573,25;634,27;538,14;541,13;626,45;623,15;667,38;605,67;611,75;578,31;
361,934;37,116;596,41;567,69;642,35;644,37;576,28;544,99;610,45;575,76;588,59;606,29;
362,263;22,014;515,19;584,81;544,38;577,41;604,15;562,75;603,36;597,57;593,64;695,39;
362,592;55,4;523,58;562,46;586,88;595,63;621,39;598,4;650,98;615,29;611,2;640,35;
362,921;-14,964;571,12;576,53;585,91;605,83;629,96;562,84;583,78;594,38;650,42;647,05;
363,250;13,252;554,62;559,79;585;556,89;608,45;535,29;589,7;578,47;600,88;666,54;
363,579;-25,408;586,81;604,81;605,8;591,81;597,6;504,6;559,39;561,6;590,8;637,99;
363,908;-43,121;622,78;620,83;603,35;538,73;611,3;582,93;555,59;610,03;609,36;590,98;
