;Pu2;Pu2;Pu2;Pu2;Pu2;Pu2;Pu2;Pu2;Pu2;Live Spectrum 25-Jul-19 2:57:58 PM;Live Spectrum 25-Jul-19 2:57:59 PM;Live Spectrum 25-Jul-19 2:58:00 PM;Live Spectrum 25-Jul-19 2:58:01 PM;Live Spectrum 25-Jul-19 2:58:02 PM;Live Spectrum 25-Jul-19 2:58:03 PM;Live Spectrum 25-Jul-19 2:58:04 PM;Live Spectrum 25-Jul-19 2:58:05 PM;Live Spectrum 25-Jul-19 2:58:06 PM;Live Spectrum 25-Jul-19 2:58:07 PM;Live Spectrum 25-Jul-19 2:58:08 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;
Wavelength [nm];Intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;
275,726;-65;-42;248;363;349;348;378;359;361;314;349;246;341;440;434;412;-21;-23;82;-62;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;
374,108;-37,231;2,4661;600,69;635,02;566,34;581,59;563,4;600,66;604,84;515,88;534,04;560,93;611,34;634,59;571,39;570,47;-19,478;0,38646;-25,705;-19,602;-24,195;-24,195;-24,195;-24,195;-24,195;-24,195;-24,195;-24,195;-24,195;-24,195;-24,195;-24,195;-24,195;-24,195;-24,195;-24,195;-24,195;-24,195;-24,195;-24,195;-24,195;-24,195;-24,195;-24,195;-24,195;-24,195;-24,195;-24,195;-24,195;-24,195;-24,195;
374,437;-2,3667;-7,863;573,91;594,23;518,71;536,75;584,48;575,8;563,46;506,3;538,16;590,36;547,21;568,64;603,7;531,86;-36,863;-5,5906;1,6348;27,839;9,4522;9,4522;9,4522;9,4522;9,4522;9,4522;9,4522;9,4522;9,4522;9,4522;9,4522;9,4522;9,4522;9,4522;9,4522;9,4522;9,4522;9,4522;9,4522;9,4522;9,4522;9,4522;9,4522;9,4522;9,4522;9,4522;9,4522;9,4522;9,4522;9,4522;9,4522;
374,766;-5,9952;-18,999;616,74;582,75;565,74;551,75;594,25;553,13;572,37;537,37;577,87;600,88;549,87;565,62;614,5;567,37;-40,5;-31,497;9,2512;40,626;19,002;19,002;19,002;19,002;19,002;19,002;19,002;19,002;19,002;19,002;19,002;19,002;19,002;19,002;19,002;19,002;19,002;19,002;19,002;19,002;19,002;19,002;19,002;19,002;19,002;19,002;19,002;19,002;19,002;19,002;19,002;
375,095;-10,458;-10,185;607,78;613,45;597,5;526,51;605,63;609,3;538,01;547,32;550,33;601,36;566,14;597,68;563,24;562,1;-29,548;-5,4184;-4,2708;39,726;37,175;37,175;37,175;37,175;37,175;37,175;37,175;37,175;37,175;37,175;37,175;37,175;37,175;37,175;37,175;37,175;37,175;37,175;37,175;37,175;37,175;37,175;37,175;37,175;37,175;37,175;37,175;37,175;37,175;37,175;37,175;
375,424;-19,597;-14,247;585,25;651,82;602,46;557,35;594,07;645,1;524,27;535,32;606,51;592,98;555,55;611,35;595,68;527,75;-26,34;1,403;-2,2065;-3,2042;9,2392;9,2392;9,2392;9,2392;9,2392;9,2392;9,2392;9,2392;9,2392;9,2392;9,2392;9,2392;9,2392;9,2392;9,2392;9,2392;9,2392;9,2392;9,2392;9,2392;9,2392;9,2392;9,2392;9,2392;9,2392;9,2392;9,2392;9,2392;9,2392;9,2392;9,2392;
375,753;-35,477;-33,406;620,08;664,25;629,34;601,25;599,9;624,76;542;537,84;627,36;589,18;589,63;571,49;604,81;570,26;-30,045;-66,735;-17,948;-16,484;11,193;11,193;11,193;11,193;11,193;11,193;11,193;11,193;11,193;11,193;11,193;11,193;11,193;11,193;11,193;11,193;11,193;11,193;11,193;11,193;11,193;11,193;11,193;11,193;11,193;11,193;11,193;11,193;11,193;11,193;11,193;
376,082;2,6158;-10,735;646,91;657,53;626,48;594,05;588,71;630,49;559,1;539,63;547,32;592,51;569,77;564,66;641,3;591,62;5,1502;-87,132;-15,04;-18,937;61,655;61,655;61,655;61,655;61,655;61,655;61,655;61,655;61,655;61,655;61,655;61,655;61,655;61,655;61,655;61,655;61,655;61,655;61,655;61,655;61,655;61,655;61,655;61,655;61,655;61,655;61,655;61,655;61,655;61,655;61,655;
376,411;16,091;4,2727;626;641;614,09;564,73;565,18;611,18;592;572,64;564,64;572,45;561,64;597,91;655,18;568,55;35,273;-20,818;17,182;-39,455;50,636;50,636;50,636;50,636;50,636;50,636;50,636;50,636;50,636;50,636;50,636;50,636;50,636;50,636;50,636;50,636;50,636;50,636;50,636;50,636;50,636;50,636;50,636;50,636;50,636;50,636;50,636;50,636;50,636;50,636;50,636;
376,740;3,0831;-8,1687;581,7;599,03;619,53;579,94;571,64;578,24;620,51;600,5;595,36;553,21;610,33;626,64;604,55;580,73;20,533;-25,044;16,066;-37,364;0,07581;0,07581;0,07581;0,07581;0,07581;0,07581;0,07581;0,07581;0,07581;0,07581;0,07581;0,07581;0,07581;0,07581;0,07581;0,07581;0,07581;0,07581;0,07581;0,07581;0,07581;0,07581;0,07581;0,07581;0,07581;0,07581;0,07581;0,07581;0,07581;0,07581;0,07581;
377,069;16,405;10,184;573,6;581,07;602,72;638,66;562,36;580,36;611,42;556,45;549,77;566,34;598,55;606,52;614,58;595,41;23,049;-80,858;-13,688;-18,423;-14,405;-14,405;-14,405;-14,405;-14,405;-14,405;-14,405;-14,405;-14,405;-14,405;-14,405;-14,405;-14,405;-14,405;-14,405;-14,405;-14,405;-14,405;-14,405;-14,405;-14,405;-14,405;-14,405;-14,405;-14,405;-14,405;-14,405;-14,405;-14,405;-14,405;-14,405;
377,398;14,218;-6,0906;587,42;596,54;591,88;603,02;584,97;552,35;556,72;523,83;559,46;583,64;598,88;562;580,76;587,43;23,487;-45,897;-37;16,885;-5,8721;-5,8721;-5,8721;-5,8721;-5,8721;-5,8721;-5,8721;-5,8721;-5,8721;-5,8721;-5,8721;-5,8721;-5,8721;-5,8721;-5,8721;-5,8721;-5,8721;-5,8721;-5,8721;-5,8721;-5,8721;-5,8721;-5,8721;-5,8721;-5,8721;-5,8721;-5,8721;-5,8721;-5,8721;-5,8721;-5,8721;
377,727;46,868;-40,296;563,38;587,69;604,42;562,51;624,7;589,18;557,51;551,46;582,97;590,49;622,41;631,61;584,32;551,26;11,572;-26,374;-48,792;10,45;-19,538;-19,538;-19,538;-19,538;-19,538;-19,538;-19,538;-19,538;-19,538;-19,538;-19,538;-19,538;-19,538;-19,538;-19,538;-19,538;-19,538;-19,538;-19,538;-19,538;-19,538;-19,538;-19,538;-19,538;-19,538;-19,538;-19,538;-19,538;-19,538;-19,538;-19,538;
378,057;41,892;-12,994;552,5;593,74;623,41;578,26;569,22;629,61;609,34;604,77;602,28;581,58;647,39;561,79;592,69;536,72;44,722;-14,937;-43,241;-8,386;-15,696;-15,696;-15,696;-15,696;-15,696;-15,696;-15,696;-15,696;-15,696;-15,696;-15,696;-15,696;-15,696;-15,696;-15,696;-15,696;-15,696;-15,696;-15,696;-15,696;-15,696;-15,696;-15,696;-15,696;-15,696;-15,696;-15,696;-15,696;-15,696;-15,696;-15,696;
378,386;8,4797;-18,502;588,17;592,07;623,18;593,48;544,87;600,01;575,29;551,47;608,25;571,73;555,47;611,24;610,24;542,79;28,712;37,21;18,443;-23,933;-15,697;-15,697;-15,697;-15,697;-15,697;-15,697;-15,697;-15,697;-15,697;-15,697;-15,697;-15,697;-15,697;-15,697;-15,697;-15,697;-15,697;-15,697;-15,697;-15,697;-15,697;-15,697;-15,697;-15,697;-15,697;-15,697;-15,697;-15,697;-15,697;-15,697;-15,697;
378,715;0,24898;-14,139;537,94;644,44;565,48;578,09;617,6;620,25;600,14;533,34;601,19;564,72;549,28;610,16;615,42;571,92;-3,7366;-7,5906;-24,527;20,014;25,046;25,046;25,046;25,046;25,046;25,046;25,046;25,046;25,046;25,046;25,046;25,046;25,046;25,046;25,046;25,046;25,046;25,046;25,046;25,046;25,046;25,046;25,046;25,046;25,046;25,046;25,046;25,046;25,046;25,046;25,046;
379,044;25,967;6,2667;588,88;610,03;558,72;574,48;544,52;639,18;563,6;538,73;582,35;602,05;595,17;625,92;635,77;563,2;-14,583;-50,617;-9,6166;-15,817;8,0999;8,0999;8,0999;8,0999;8,0999;8,0999;8,0999;8,0999;8,0999;8,0999;8,0999;8,0999;8,0999;8,0999;8,0999;8,0999;8,0999;8,0999;8,0999;8,0999;8,0999;8,0999;8,0999;8,0999;8,0999;8,0999;8,0999;8,0999;8,0999;8,0999;8,0999;
379,373;7,1031;0,90732;618,32;540,46;557,63;553,41;620,87;597,28;506,96;507,65;620,11;581,35;542,19;588,32;565,73;608,25;-27,676;-34,768;-2,5875;-17,691;-43,025;-43,025;-43,025;-43,025;-43,025;-43,025;-43,025;-43,025;-43,025;-43,025;-43,025;-43,025;-43,025;-43,025;-43,025;-43,025;-43,025;-43,025;-43,025;-43,025;-43,025;-43,025;-43,025;-43,025;-43,025;-43,025;-43,025;-43,025;-43,025;-43,025;-43,025;
379,702;-0,19937;-10,768;586,35;605,09;583,77;619,25;587,97;636,7;571,76;591,69;602,28;582,86;565,07;622,48;609,21;532,66;14,116;-3,4952;-19,875;-29,643;-70,961;-70,961;-70,961;-70,961;-70,961;-70,961;-70,961;-70,961;-70,961;-70,961;-70,961;-70,961;-70,961;-70,961;-70,961;-70,961;-70,961;-70,961;-70,961;-70,961;-70,961;-70,961;-70,961;-70,961;-70,961;-70,961;-70,961;-70,961;-70,961;-70,961;-70,961;
380,031;-14,377;-11,787;592,69;640,23;579,62;587,26;596,2;659,26;543,07;593,64;631,97;540,92;554,89;571,72;644,16;555,3;13,033;10,623;9,0819;-4;17,967;17,967;17,967;17,967;17,967;17,967;17,967;17,967;17,967;17,967;17,967;17,967;17,967;17,967;17,967;17,967;17,967;17,967;17,967;17,967;17,967;17,967;17,967;17,967;17,967;17,967;17,967;17,967;17,967;17,967;17,967;
380,360;12,684;-41,07;635,21;597,13;555,61;630,46;522,8;594,08;502,62;556,77;596,02;592,28;521,69;643,48;592,94;581,34;-7,9383;37,442;64,6;-4,1448;-14,311;-14,311;-14,311;-14,311;-14,311;-14,311;-14,311;-14,311;-14,311;-14,311;-14,311;-14,311;-14,311;-14,311;-14,311;-14,311;-14,311;-14,311;-14,311;-14,311;-14,311;-14,311;-14,311;-14,311;-14,311;-14,311;-14,311;-14,311;-14,311;-14,311;-14,311;
380,689;-32,737;-3,6585;658,09;581,05;606,9;542,35;577,94;576,31;575,04;571,97;557,51;519,57;556,36;574,41;651,76;586,26;14,171;-13,761;35,8;-7,0878;18,02;18,02;18,02;18,02;18,02;18,02;18,02;18,02;18,02;18,02;18,02;18,02;18,02;18,02;18,02;18,02;18,02;18,02;18,02;18,02;18,02;18,02;18,02;18,02;18,02;18,02;18,02;18,02;18,02;18,02;18,02;
381,018;-15,345;-47,138;598,19;650,62;600,13;631,24;574,08;596,6;643,64;570,04;591,33;557,25;646,22;601,46;702;471,28;91,467;-64,003;-43,428;-12,885;-46,716;-46,716;-46,716;-46,716;-46,716;-46,716;-46,716;-46,716;-46,716;-46,716;-46,716;-46,716;-46,716;-46,716;-46,716;-46,716;-46,716;-46,716;-46,716;-46,716;-46,716;-46,716;-46,716;-46,716;-46,716;-46,716;-46,716;-46,716;-46,716;-46,716;-46,716;
381,347;15,313;22,1;590,37;555,38;525,16;609,32;551,26;593,21;539,85;588;556;588,31;651,79;506,32;566,59;574,15;2,06;-80,157;-76,261;-44,261;-30,949;-30,949;-30,949;-30,949;-30,949;-30,949;-30,949;-30,949;-30,949;-30,949;-30,949;-30,949;-30,949;-30,949;-30,949;-30,949;-30,949;-30,949;-30,949;-30,949;-30,949;-30,949;-30,949;-30,949;-30,949;-30,949;-30,949;-30,949;-30,949;-30,949;-30,949;
381,676;-41,475;-19,684;639,34;636,8;616,02;578,76;599,34;588,43;633,59;595,4;640,8;547,97;582,56;638,96;636,66;619,29;7,0504;-59,072;4,2305;-1,23;-14,468;-14,468;-14,468;-14,468;-14,468;-14,468;-14,468;-14,468;-14,468;-14,468;-14,468;-14,468;-14,468;-14,468;-14,468;-14,468;-14,468;-14,468;-14,468;-14,468;-14,468;-14,468;-14,468;-14,468;-14,468;-14,468;-14,468;-14,468;-14,468;-14,468;-14,468;
382,005;-17,956;23,527;615,84;623,88;620,6;576,88;587,28;545,75;585,79;550,23;565,39;574,8;612,09;579,83;640,48;583,39;37,044;-57,88;-26,726;68,129;-33,243;-33,243;-33,243;-33,243;-33,243;-33,243;-33,243;-33,243;-33,243;-33,243;-33,243;-33,243;-33,243;-33,243;-33,243;-33,243;-33,243;-33,243;-33,243;-33,243;-33,243;-33,243;-33,243;-33,243;-33,243;-33,243;-33,243;-33,243;-33,243;-33,243;-33,243;
382,334;0,39073;47,777;626,39;602,38;573,44;582,08;593,47;601,8;605,93;549,08;587,86;572,23;615,31;568,31;623,92;535,67;52,851;-69,005;12,865;31,288;-41,079;-41,079;-41,079;-41,079;-41,079;-41,079;-41,079;-41,079;-41,079;-41,079;-41,079;-41,079;-41,079;-41,079;-41,079;-41,079;-41,079;-41,079;-41,079;-41,079;-41,079;-41,079;-41,079;-41,079;-41,079;-41,079;-41,079;-41,079;-41,079;-41,079;-41,079;
382,663;20,887;50,187;629;585,18;569,88;640,73;600,69;525,19;539,45;581,71;562,29;558,8;564,59;495,64;639,7;536,13;11,909;2,1731;38,887;-31,473;18,165;18,165;18,165;18,165;18,165;18,165;18,165;18,165;18,165;18,165;18,165;18,165;18,165;18,165;18,165;18,165;18,165;18,165;18,165;18,165;18,165;18,165;18,165;18,165;18,165;18,165;18,165;18,165;18,165;18,165;18,165;
382,992;25,779;48,441;637,57;613,18;592,04;685,96;565,37;541,63;590,03;533,66;608;580,16;576,38;632,55;624,51;633,09;32,398;-24,649;-16,238;-68,942;-9,3105;-9,3105;-9,3105;-9,3105;-9,3105;-9,3105;-9,3105;-9,3105;-9,3105;-9,3105;-9,3105;-9,3105;-9,3105;-9,3105;-9,3105;-9,3105;-9,3105;-9,3105;-9,3105;-9,3105;-9,3105;-9,3105;-9,3105;-9,3105;-9,3105;-9,3105;-9,3105;-9,3105;-9,3105;-9,3105;-9,3105;
383,321;13,319;-8,6925;584,05;629,46;584,57;582,36;555;582,58;579,91;571,71;576,75;554,18;587,48;584,99;587,67;590,63;34,286;-47,443;-1,67;-28,259;-29,951;-29,951;-29,951;-29,951;-29,951;-29,951;-29,951;-29,951;-29,951;-29,951;-29,951;-29,951;-29,951;-29,951;-29,951;-29,951;-29,951;-29,951;-29,951;-29,951;-29,951;-29,951;-29,951;-29,951;-29,951;-29,951;-29,951;-29,951;-29,951;-29,951;-29,951;
383,650;13,988;44,675;603,48;660,5;542,95;596,01;604,88;604,4;562,16;588,57;543,9;545,85;612,51;585,35;572,72;554,17;58,363;-83,063;1,1625;-22,688;-26,587;-26,587;-26,587;-26,587;-26,587;-26,587;-26,587;-26,587;-26,587;-26,587;-26,587;-26,587;-26,587;-26,587;-26,587;-26,587;-26,587;-26,587;-26,587;-26,587;-26,587;-26,587;-26,587;-26,587;-26,587;-26,587;-26,587;-26,587;-26,587;-26,587;-26,587;
383,979;-16,597;39,365;587,76;600,69;560,6;607,49;580,18;607,64;601,78;542,5;543,11;610,84;647,81;565,4;577,79;550,36;44,552;-123,16;-0,64178;-0,51462;14,709;14,709;14,709;14,709;14,709;14,709;14,709;14,709;14,709;14,709;14,709;14,709;14,709;14,709;14,709;14,709;14,709;14,709;14,709;14,709;14,709;14,709;14,709;14,709;14,709;14,709;14,709;14,709;14,709;14,709;14,709;
384,308;-15,212;18,48;582,69;575,39;557,27;652,72;565,46;598,61;585,2;542,31;531,15;589,99;630,3;581,64;624,91;552,29;3,2983;-59,163;-6,4569;17,811;-30,923;-30,923;-30,923;-30,923;-30,923;-30,923;-30,923;-30,923;-30,923;-30,923;-30,923;-30,923;-30,923;-30,923;-30,923;-30,923;-30,923;-30,923;-30,923;-30,923;-30,923;-30,923;-30,923;-30,923;-30,923;-30,923;-30,923;-30,923;-30,923;-30,923;-30,923;
384,637;25,227;-29,31;598,41;564,69;525,57;623,06;569;573,79;618,88;536,24;539,53;607,92;633,59;551,85;594,51;529,73;-49,125;-25,572;-25,307;6,3049;11,761;11,761;11,761;11,761;11,761;11,761;11,761;11,761;11,761;11,761;11,761;11,761;11,761;11,761;11,761;11,761;11,761;11,761;11,761;11,761;11,761;11,761;11,761;11,761;11,761;11,761;11,761;11,761;11,761;11,761;11,761;
384,966;3,896;-36,58;609,05;589,74;522,42;609;574,21;578,95;621,74;559,74;573,16;619,63;642,53;564,84;585,47;526;-72;-8,4218;11,314;10,894;7,1596;7,1596;7,1596;7,1596;7,1596;7,1596;7,1596;7,1596;7,1596;7,1596;7,1596;7,1596;7,1596;7,1596;7,1596;7,1596;7,1596;7,1596;7,1596;7,1596;7,1596;7,1596;7,1596;7,1596;7,1596;7,1596;7,1596;7,1596;7,1596;7,1596;7,1596;
385,295;-5,2667;-28,639;587,99;594,81;596,02;631;587,82;555,44;559,17;562,63;544,71;579,72;619,27;552,9;600,73;536,18;-27,26;-5,0947;33,542;16,635;10,558;10,558;10,558;10,558;10,558;10,558;10,558;10,558;10,558;10,558;10,558;10,558;10,558;10,558;10,558;10,558;10,558;10,558;10,558;10,558;10,558;10,558;10,558;10,558;10,558;10,558;10,558;10,558;10,558;10,558;10,558;
385,624;3,2911;-33,463;597,71;636,91;653,56;577,6;592,93;572,13;590,04;531,71;511,1;594,4;592,27;553,37;606,2;556,44;-5,881;1,9302;1,4592;-18,762;34,217;34,217;34,217;34,217;34,217;34,217;34,217;34,217;34,217;34,217;34,217;34,217;34,217;34,217;34,217;34,217;34,217;34,217;34,217;34,217;34,217;34,217;34,217;34,217;34,217;34,217;34,217;34,217;34,217;34,217;34,217;
385,953;9,3704;-13,798;588,16;646,54;608,58;558,4;583,29;578,2;602,14;508,02;528,89;573,48;596,89;574,59;592,44;586,45;-16,21;-13,573;14,489;-17,385;-14,363;-14,363;-14,363;-14,363;-14,363;-14,363;-14,363;-14,363;-14,363;-14,363;-14,363;-14,363;-14,363;-14,363;-14,363;-14,363;-14,363;-14,363;-14,363;-14,363;-14,363;-14,363;-14,363;-14,363;-14,363;-14,363;-14,363;-14,363;-14,363;-14,363;-14,363;
386,282;-11,108;-18,072;577,76;603,58;578,84;605,13;575,55;557,4;561,04;533,78;549,8;560,14;612;575,16;604,66;569,69;-15,904;-25,374;26,59;3,6266;-47,868;-47,868;-47,868;-47,868;-47,868;-47,868;-47,868;-47,868;-47,868;-47,868;-47,868;-47,868;-47,868;-47,868;-47,868;-47,868;-47,868;-47,868;-47,868;-47,868;-47,868;-47,868;-47,868;-47,868;-47,868;-47,868;-47,868;-47,868;-47,868;-47,868;-47,868;
386,611;-34,96;-45,937;594,14;559,37;601,87;602,45;583,66;580,29;546,3;555,6;564,01;602,26;591,79;564,3;633,32;519,62;-31,901;-11,677;-30,99;-8,8746;-9,7097;-9,7097;-9,7097;-9,7097;-9,7097;-9,7097;-9,7097;-9,7097;-9,7097;-9,7097;-9,7097;-9,7097;-9,7097;-9,7097;-9,7097;-9,7097;-9,7097;-9,7097;-9,7097;-9,7097;-9,7097;-9,7097;-9,7097;-9,7097;-9,7097;-9,7097;-9,7097;-9,7097;-9,7097;-9,7097;-9,7097;
386,940;-4,2413;-22,515;613,07;560,77;610,79;606,11;609,66;603,45;546,87;542,28;597,14;585,73;574,76;562,97;625,04;518,31;-19,066;-60,934;-25,513;12,933;15,688;15,688;15,688;15,688;15,688;15,688;15,688;15,688;15,688;15,688;15,688;15,688;15,688;15,688;15,688;15,688;15,688;15,688;15,688;15,688;15,688;15,688;15,688;15,688;15,688;15,688;15,688;15,688;15,688;15,688;15,688;
387,270;-6,1154;1,6537;646,19;656,85;596,92;636,92;641;625,42;615,96;574,38;621,5;581,31;595,38;597,46;640,38;536,35;22,923;-99,461;32,577;9,5766;26,385;26,385;26,385;26,385;26,385;26,385;26,385;26,385;26,385;26,385;26,385;26,385;26,385;26,385;26,385;26,385;26,385;26,385;26,385;26,385;26,385;26,385;26,385;26,385;26,385;26,385;26,385;26,385;26,385;26,385;26,385;
387,599;0,5198;-9,7401;582,48;618,34;553,48;622,67;637,97;610,93;617,13;564,07;582,85;559,77;565,14;570,12;627,88;531,89;-2,9097;-68,968;26,963;-55,703;76,968;76,968;76,968;76,968;76,968;76,968;76,968;76,968;76,968;76,968;76,968;76,968;76,968;76,968;76,968;76,968;76,968;76,968;76,968;76,968;76,968;76,968;76,968;76,968;76,968;76,968;76,968;76,968;76,968;76,968;76,968;
387,928;6,7283;-9,4348;618,13;640,33;604,8;594,68;590,92;654,69;589,01;550,05;573,87;584,68;509,79;618,13;609,33;572,27;-43,163;-11,285;48,845;-61,046;29,921;29,921;29,921;29,921;29,921;29,921;29,921;29,921;29,921;29,921;29,921;29,921;29,921;29,921;29,921;29,921;29,921;29,921;29,921;29,921;29,921;29,921;29,921;29,921;29,921;29,921;29,921;29,921;29,921;29,921;29,921;
388,257;-40,843;-35,855;549,99;589,16;595,74;598,52;587,2;600,33;544,17;521,6;624,51;587,04;566,82;559,61;560,87;598,14;-15,102;13,14;20,677;-23,702;12,128;12,128;12,128;12,128;12,128;12,128;12,128;12,128;12,128;12,128;12,128;12,128;12,128;12,128;12,128;12,128;12,128;12,128;12,128;12,128;12,128;12,128;12,128;12,128;12,128;12,128;12,128;12,128;12,128;12,128;12,128;
388,586;-22,848;-14,848;558,77;615,06;654,5;647,51;585,68;627,96;648,87;594,05;615,95;628,52;583,13;571,26;598,27;570,34;12,634;-29,192;36,504;-24,098;-26,978;-26,978;-26,978;-26,978;-26,978;-26,978;-26,978;-26,978;-26,978;-26,978;-26,978;-26,978;-26,978;-26,978;-26,978;-26,978;-26,978;-26,978;-26,978;-26,978;-26,978;-26,978;-26,978;-26,978;-26,978;-26,978;-26,978;-26,978;-26,978;-26,978;-26,978;
388,915;-27,966;-15,991;574,58;630,72;639,06;631;534,81;580,54;546,88;532;588,19;598,47;514,38;509,09;620,84;595,06;18,05;-60,832;12,39;5,8817;-52,231;-52,231;-52,231;-52,231;-52,231;-52,231;-52,231;-52,231;-52,231;-52,231;-52,231;-52,231;-52,231;-52,231;-52,231;-52,231;-52,231;-52,231;-52,231;-52,231;-52,231;-52,231;-52,231;-52,231;-52,231;-52,231;-52,231;-52,231;-52,231;-52,231;-52,231;
389,244;10,785;35,764;554,28;636,51;590,01;635,87;557,32;589,5;631,68;589,07;576,46;594,53;642,71;573;598,9;606,48;-20,658;-47,456;-59,595;-34,684;-9,4684;-9,4684;-9,4684;-9,4684;-9,4684;-9,4684;-9,4684;-9,4684;-9,4684;-9,4684;-9,4684;-9,4684;-9,4684;-9,4684;-9,4684;-9,4684;-9,4684;-9,4684;-9,4684;-9,4684;-9,4684;-9,4684;-9,4684;-9,4684;-9,4684;-9,4684;-9,4684;-9,4684;-9,4684;-9,4684;-9,4684;
389,573;-6,7043;-4,5084;592,42;648,59;576,75;668,7;629,44;629,07;609,26;532,54;559,21;631,69;685,08;583,67;578,48;549,75;-31,755;-31,36;7,181;-7,3274;29,296;29,296;29,296;29,296;29,296;29,296;29,296;29,296;29,296;29,296;29,296;29,296;29,296;29,296;29,296;29,296;29,296;29,296;29,296;29,296;29,296;29,296;29,296;29,296;29,296;29,296;29,296;29,296;29,296;29,296;29,296;
389,902;-44,308;6,9183;687,26;627,14;647,02;695,93;552,66;638,14;662,29;577,93;586,94;585,29;620,81;664,04;558,75;619,52;6,1484;-66,226;-27,222;-34,144;-13,374;-13,374;-13,374;-13,374;-13,374;-13,374;-13,374;-13,374;-13,374;-13,374;-13,374;-13,374;-13,374;-13,374;-13,374;-13,374;-13,374;-13,374;-13,374;-13,374;-13,374;-13,374;-13,374;-13,374;-13,374;-13,374;-13,374;-13,374;-13,374;-13,374;-13,374;
390,231;-58,903;5,7077;594,36;596,7;595,14;593,9;601,2;562,27;543,02;524,17;618,68;608,91;588,21;643,9;558,34;560,58;62,587;-79,123;-0,38404;-49,825;-80,372;-80,372;-80,372;-80,372;-80,372;-80,372;-80,372;-80,372;-80,372;-80,372;-80,372;-80,372;-80,372;-80,372;-80,372;-80,372;-80,372;-80,372;-80,372;-80,372;-80,372;-80,372;-80,372;-80,372;-80,372;-80,372;-80,372;-80,372;-80,372;-80,372;-80,372;
390,560;-55,731;-1,2217;697,27;628,24;675,17;592,3;528,59;586,22;563;585,21;591,92;568,08;647,78;679,19;604,1;609,49;34,81;-62,286;-84,461;-103,7;10,397;10,397;10,397;10,397;10,397;10,397;10,397;10,397;10,397;10,397;10,397;10,397;10,397;10,397;10,397;10,397;10,397;10,397;10,397;10,397;10,397;10,397;10,397;10,397;10,397;10,397;10,397;10,397;10,397;10,397;10,397;
390,889;21,635;-75,686;591,86;520,89;624,89;610,68;625,29;538,84;563;536,85;526,16;572,91;451,46;568,95;609,9;517,62;23,205;-79,693;9,3447;-24,399;34,573;34,573;34,573;34,573;34,573;34,573;34,573;34,573;34,573;34,573;34,573;34,573;34,573;34,573;34,573;34,573;34,573;34,573;34,573;34,573;34,573;34,573;34,573;34,573;34,573;34,573;34,573;34,573;34,573;34,573;34,573;
391,218;-38,75;-43,75;647,95;581,7;550,85;628,1;622,25;620,65;582,95;548,35;636,15;630;620,9;585,05;649,9;609,1;3,0499;-21,1;-26,05;-21,1;40,7;40,7;40,7;40,7;40,7;40,7;40,7;40,7;40,7;40,7;40,7;40,7;40,7;40,7;40,7;40,7;40,7;40,7;40,7;40,7;40,7;40,7;40,7;40,7;40,7;40,7;40,7;40,7;40,7;40,7;40,7;
